timestamp_sec,x_m,y_m,z_m,qx,qy,qz,qw,speed_m_s
1772816255.909400,1.692559,-3.479078,-4.569996,0.577783,0.364131,0.403062,0.609193,0.922558
1772816255.959000,1.716331,-3.497933,-4.534540,0.577739,0.364129,0.403050,0.609244,0.940864
1772816256.026571,1.748685,-3.523257,-4.485973,0.577736,0.364096,0.403055,0.609263,0.941460
1772816256.085267,1.777201,-3.545307,-4.442850,0.577703,0.364104,0.403034,0.609304,0.957535
1772816256.106261,1.788961,-3.554310,-4.424990,0.577686,0.364087,0.403067,0.609308,1.105197
1772816256.160897,1.815570,-3.574573,-4.384465,0.577666,0.364084,0.403051,0.609340,0.961715
1772816256.207269,1.839974,-3.592920,-4.347111,0.577655,0.364089,0.403033,0.609359,1.040373
1772816256.258678,1.866316,-3.612569,-4.306612,0.577628,0.364075,0.403021,0.609401,1.014504
1772816256.308832,1.892444,-3.631925,-4.266264,0.577597,0.364055,0.403010,0.609449,1.033214
1772816256.359823,1.918809,-3.652119,-4.223364,0.576961,0.364256,0.403369,0.609694,1.063979
1772816256.409800,1.871061,-3.670691,-4.227551,0.575666,0.362730,0.404762,0.610904,1.028543
1772816256.460014,1.847944,-3.656064,-4.172343,0.573079,0.360889,0.406130,0.613513,1.227029
1772816256.509043,1.870704,-3.680988,-4.114279,0.574358,0.362637,0.405891,0.611441,1.369842
1772816256.562630,1.890591,-3.689195,-3.974844,0.572693,0.362442,0.407343,0.612152,2.632810
1772816256.615196,1.889478,-3.705964,-3.912489,0.571578,0.362870,0.407156,0.613064,1.228534
1772816256.666567,2.026504,-3.834442,-3.598373,0.572250,0.361618,0.406638,0.613521,7.124582
1772816256.709323,1.980571,-3.771678,-3.609979,0.571227,0.360584,0.407603,0.614441,1.839207
1772816256.763479,1.997519,-3.771351,-3.491952,0.581702,0.364880,0.401774,0.605857,2.201753
1772816256.809259,1.946288,-3.679175,-3.405012,0.566536,0.360521,0.408898,0.617951,2.985403
1772816259.469942,0.324927,-1.373006,-4.731337,0.574402,0.385489,0.388244,0.608873,1.170941
1772816264.831744,0.403722,-1.530376,-2.081553,0.577769,0.374491,0.394092,0.608795,0.495285
1772816267.269205,0.450463,-1.656061,-0.820673,0.600340,0.354930,0.392453,0.599665,0.520209
1772816267.315411,0.450933,-1.655302,-0.807364,0.605845,0.352910,0.392582,0.595219,0.288696
1772816270.464462,0.490091,-1.647669,-0.639471,0.613811,0.301450,0.344169,0.643360,0.054800
1772816270.469735,0.488982,-1.649759,-0.631089,0.611639,0.301381,0.340359,0.647474,1.651738
1772816270.508243,0.486855,-1.656877,-0.611344,0.606392,0.299584,0.343949,0.651335,0.547831
1772816270.559436,0.484598,-1.665409,-0.588916,0.603017,0.298385,0.343960,0.655003,0.470813
1772816270.608052,0.483157,-1.670340,-0.574910,0.601002,0.297398,0.344482,0.657025,0.306868
1772816270.659432,0.481539,-1.676540,-0.556168,0.597330,0.295359,0.346283,0.660339,0.385495
1772816270.709596,0.479703,-1.683822,-0.533486,0.593744,0.293386,0.347985,0.663550,0.476290
1772816270.758846,0.475783,-1.694677,-0.503464,0.593462,0.293937,0.344574,0.665337,0.653079
1772816270.809495,0.478076,-1.687452,-0.523915,0.594959,0.295048,0.343352,0.664139,0.430617
1772816270.860488,0.475541,-1.695999,-0.496766,0.592100,0.293559,0.344364,0.666824,0.560390
1772816270.910751,0.476289,-1.693289,-0.505959,0.593774,0.296366,0.344589,0.663972,0.191259
1772816270.961009,0.473486,-1.702499,-0.476449,0.591227,0.295172,0.345573,0.666261,0.617622
1772816271.008098,0.475413,-1.696182,-0.499711,0.594696,0.296925,0.344397,0.662995,0.513528
1772816271.060964,0.474426,-1.699147,-0.491080,0.593770,0.296486,0.343900,0.664278,0.173646
1772816271.109879,0.476313,-1.694472,-0.506392,0.594538,0.296706,0.345052,0.662894,0.329551
1772816271.159202,0.476509,-1.693799,-0.509005,0.593913,0.296615,0.345525,0.663249,0.054851
1772816271.206668,0.478544,-1.688282,-0.525651,0.594754,0.296439,0.345024,0.662835,0.371944
1772816271.259231,0.478259,-1.689095,-0.523402,0.594227,0.296064,0.343958,0.664029,0.045820
1772816271.309009,0.477750,-1.689952,-0.520489,0.594000,0.296369,0.343879,0.664136,0.061849
1772816271.363045,0.475460,-1.698021,-0.497477,0.592406,0.295615,0.344416,0.665616,0.453277
1772816271.409957,0.475878,-1.695730,-0.504362,0.591767,0.296066,0.344920,0.665722,0.154951
1772816271.459105,0.476795,-1.692479,-0.512606,0.592287,0.295386,0.343877,0.666101,0.181263
1772816271.513167,0.475062,-1.697345,-0.497895,0.590786,0.294878,0.344216,0.667483,0.288397
1772816271.558805,0.474827,-1.697013,-0.498262,0.590297,0.294643,0.343755,0.668257,0.000000
1772816271.612595,0.478029,-1.687444,-0.526172,0.592156,0.294706,0.343815,0.666552,0.551739
1772816271.671468,0.478828,-1.685246,-0.532433,0.592973,0.294808,0.344180,0.665591,0.113521
1772816271.715443,0.488553,-1.650846,-0.630481,0.594950,0.296044,0.344529,0.663093,2.373228
1772816271.760786,0.487946,-1.651969,-0.625857,0.594218,0.295385,0.344898,0.663851,0.105786
1772816271.807966,0.488372,-1.652792,-0.625201,0.593720,0.294965,0.344614,0.664630,0.000000
1772816271.858073,0.487419,-1.654536,-0.619412,0.593452,0.294038,0.345030,0.665064,0.122139
1772816271.908462,0.487490,-1.655200,-0.615218,0.593374,0.293220,0.345752,0.665120,0.084280
1772816271.958442,0.487385,-1.654919,-0.612893,0.592565,0.292583,0.346112,0.665934,0.046918
1772816272.007530,0.488187,-1.657792,-0.608465,0.592470,0.292150,0.346358,0.666081,0.108756
1772816272.058939,0.486050,-1.659485,-0.604670,0.592936,0.293012,0.346274,0.665331,0.090902
1772816272.110499,0.486292,-1.660039,-0.603212,0.593813,0.293240,0.346633,0.664260,0.000000
1772816272.159974,0.485696,-1.660451,-0.602362,0.594170,0.293797,0.346180,0.663932,0.000000
1772816272.209120,0.485617,-1.660707,-0.601761,0.594260,0.293630,0.346179,0.663925,0.000000
1772816272.260100,0.485631,-1.660803,-0.600689,0.593874,0.293307,0.346374,0.664311,0.000000
1772816272.309824,0.485652,-1.661149,-0.600411,0.594122,0.293701,0.346111,0.664053,0.000000
1772816272.363345,0.485799,-1.661507,-0.600057,0.594181,0.293707,0.346099,0.664003,0.000000
1772816272.409331,0.485661,-1.660717,-0.600456,0.594233,0.293611,0.346007,0.664047,0.000000
1772816272.458833,0.485663,-1.660860,-0.599299,0.593993,0.293401,0.346281,0.664212,0.000000
1772816272.508730,0.485152,-1.660524,-0.599061,0.594445,0.293724,0.346084,0.663768,0.000000
1772816272.559058,0.485391,-1.661026,-0.598613,0.594238,0.293334,0.346346,0.663988,0.000000
1772816272.611357,0.485811,-1.662148,-0.597585,0.593918,0.293167,0.346511,0.664262,0.000000
1772816272.659495,0.486167,-1.662283,-0.595851,0.593518,0.292765,0.346776,0.664659,0.000000
1772816272.709795,0.485117,-1.663795,-0.594012,0.593696,0.293490,0.346531,0.664308,0.051723
1772816272.758804,0.485642,-1.662730,-0.596809,0.594358,0.294211,0.346279,0.663528,0.061993
1772816272.809063,0.485733,-1.662771,-0.595411,0.593981,0.293768,0.346528,0.663932,0.000000
1772816272.859326,0.485405,-1.663135,-0.596106,0.594528,0.294323,0.345933,0.663507,0.000000
1772816272.908569,0.485499,-1.663148,-0.595250,0.594210,0.294114,0.346071,0.663812,0.000000
1772816272.956591,0.485347,-1.662558,-0.596917,0.595141,0.295287,0.345430,0.662790,0.000000
1772816273.009769,0.485224,-1.662215,-0.596266,0.595025,0.294813,0.345542,0.663047,0.000000
1772816273.055577,0.485062,-1.662119,-0.596176,0.595455,0.295499,0.345185,0.662541,0.000000
1772816273.108111,0.485060,-1.661605,-0.595168,0.595130,0.295199,0.345404,0.662853,0.000000
1772816273.158174,0.485253,-1.662381,-0.594535,0.595033,0.295336,0.345564,0.662795,0.000000
1772816273.209565,0.485146,-1.662626,-0.594645,0.595788,0.296157,0.344961,0.662064,0.000000
1772816273.258147,0.484884,-1.661985,-0.594733,0.595935,0.296497,0.344739,0.661896,0.000000
1772816273.309521,0.485120,-1.663020,-0.594671,0.596055,0.296399,0.344911,0.661743,0.000000
1772816273.359690,0.485150,-1.663659,-0.594119,0.596142,0.296650,0.344838,0.661590,0.000000
1772816273.409081,0.485214,-1.663243,-0.594706,0.596187,0.296863,0.344720,0.661515,0.000000
1772816273.459034,0.485337,-1.663368,-0.594642,0.596265,0.296990,0.344523,0.661490,0.000000
1772816273.526981,0.485163,-1.663647,-0.593857,0.596285,0.296952,0.344540,0.661480,0.000000
1772816273.560711,0.485147,-1.663385,-0.594505,0.596523,0.297309,0.344218,0.661273,0.000000
1772816273.608895,0.485217,-1.663102,-0.594121,0.596418,0.297380,0.344286,0.661300,0.000000
1772816273.663808,0.485443,-1.663694,-0.593695,0.596402,0.297319,0.344398,0.661283,0.000000
1772816273.710064,0.485235,-1.663308,-0.594417,0.596682,0.297667,0.344005,0.661079,0.000000
1772816273.762131,0.485189,-1.663380,-0.594163,0.596604,0.297514,0.344129,0.661154,0.000000
1772816273.809236,0.485206,-1.663123,-0.593415,0.596412,0.297358,0.344270,0.661324,0.000000
